id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,log_price
2619549,"Charming, Modern 2BR | Central Park",13347167,AFI Apartments,Manhattan,Upper East Side,40.77265,-73.9574,Entire home/apt,140,30,1,2018-09-30,0.11,29,329,4.941642422609304
34291583,Sonder | 116 John | Relaxed Studio + Gym,219517861,Sonder (NYC),Manhattan,Financial District,40.70838,-74.00694,Entire home/apt,100,29,0,NA,NA,327,351,4.605170185988092
16427854,Trendy 1 bedroom apartment in cool LES hood.,83185960,Dr. Amy,Manhattan,Lower East Side,40.7151,-73.98661,Entire home/apt,180,3,49,2019-05-28,1.58,1,1,5.19295685089021
23901975,BrightClean Studio near Grand Central (MurrayHill),43275413,Ashumi,Manhattan,Midtown,40.7464,-73.97987,Entire home/apt,180,2,18,2019-06-02,1.22,1,4,5.19295685089021
10132356,Giant Loft with a Huge Deck and Kitchen,21247379,Paul,Manhattan,Harlem,40.80926,-73.95455,Entire home/apt,150,3,25,2019-06-14,1.2,1,22,5.0106352940962555
3613839,Cozy  and sunny room in Manhattan,17450462,Esther,Manhattan,Harlem,40.82544,-73.9402,Private room,60,7,45,2019-06-09,0.92,1,290,4.0943445622221
1807757,"SUNNY,SUPER CLEAN WEST VILLAGE  APT",9473928,Hakan,Manhattan,West Village,40.73246,-74.00215,Entire home/apt,200,10,4,2019-01-02,0.06,1,3,5.298317366548036
2791446,CUTE Studio in the heart of Chelsea,7069480,Marc,Manhattan,Chelsea,40.74309,-73.99436,Entire home/apt,220,6,53,2019-07-01,0.9,1,304,5.393627546352362
36062290,"True 1 bedroom, with add'l pull out couch",9483525,Gail,Manhattan,West Village,40.73669,-74.001,Entire home/apt,300,2,1,2019-07-01,1,1,28,5.703782474656201
26526075,BEST LOCATION Times Square Central Prk Hudson Yrds,56060495,Laura-Lee,Manhattan,Hell's Kitchen,40.75524,-73.99362,Entire home/apt,100,1,34,2019-06-28,2.9,1,1,4.605170185988092
32773207,Immersive Chelsea's Art House! Great Location!!,246456163,Diego,Manhattan,Chelsea,40.74996,-73.99488,Entire home/apt,150,2,9,2019-06-18,3.03,1,151,5.0106352940962555
4754646,Room in a great UWS apartment,6649124,Yuval,Manhattan,Upper West Side,40.80149,-73.96458,Private room,70,1,0,NA,NA,1,0,4.248495242049359
19495120,UWS gorgeous one bedroom,8286555,Elyse,Manhattan,Upper West Side,40.78116,-73.98672,Entire home/apt,300,5,0,NA,NA,1,83,5.703782474656201
18205794,"Bright, Quiet and Modern--1,200 Sq Ft in W Village",1448674,Sean,Manhattan,West Village,40.7355,-73.99964,Entire home/apt,330,4,33,2019-06-09,1.25,1,16,5.799092654460526
20261316,Sunny two bedroom-two bath in doorman building UWS,42435903,Anuja,Manhattan,Upper West Side,40.79093,-73.97528,Entire home/apt,270,7,0,NA,NA,1,0,5.598421958998375
4660022,Best Block Clean Luxury Loft in SoHo,745486,Re,Manhattan,SoHo,40.72592,-73.99933,Entire home/apt,900,1,66,2019-06-24,1.18,1,365,6.802394763324311
3171480,HUGE 1BR in Prime West Village,6183406,Justin,Manhattan,West Village,40.73509,-74.00323,Entire home/apt,200,4,4,2016-09-22,0.07,1,0,5.298317366548036
22455153,2 Bedroom - Midtown off 5th Ave,26490904,Deo,Manhattan,Midtown,40.76151,-73.97635,Entire home/apt,220,30,2,2019-02-04,0.17,4,280,5.393627546352362
4752659,Enjoying New York like a local. Share my Apartment,24525377,Jin,Manhattan,East Village,40.72513,-73.98064,Private room,120,1,73,2018-08-25,1.51,1,154,4.787491742782046
6245408,Sweet Harlem studio,7038817,Sarah,Manhattan,Harlem,40.80373,-73.95523,Entire home/apt,100,5,5,2016-12-30,0.1,1,0,4.605170185988092
