cycle,operator,temp,score
40,1,300,23
40,1,300,24
40,1,300,25
50,1,300,36
50,1,300,35
50,1,300,36
60,1,300,28
60,1,300,24
60,1,300,27
40,2,300,27
40,2,300,28
40,2,300,26
50,2,300,34
50,2,300,38
50,2,300,39
60,2,300,35
60,2,300,35
60,2,300,34
40,3,300,31
40,3,300,32
40,3,300,29
50,3,300,33
50,3,300,34
50,3,300,35
60,3,300,26
60,3,300,27
60,3,300,25
40,1,350,24
40,1,350,23
40,1,350,28
50,1,350,37
50,1,350,39
50,1,350,35
60,1,350,26
60,1,350,29
60,1,350,25
40,2,350,38
40,2,350,36
40,2,350,35
50,2,350,34
50,2,350,38
50,2,350,36
60,2,350,36
60,2,350,37
60,2,350,34
40,3,350,34
40,3,350,36
40,3,350,39
50,3,350,34
50,3,350,36
50,3,350,31
60,3,350,28
60,3,350,26
60,3,350,24
