type, construction, operation, service, incidents
A, 60-64, 60-74, 127, 0
A, 60-64, 75-79, 63, 0
A, 65-69, 60-74, 1095, 3
A, 65-69, 75-79, 1095, 4
A, 70-74, 60-74, 1512, 6
A, 70-74, 75-79, 3353, 18
A, 75-79, 75-79, 2244, 11
B, 60-64, 60-74, 44882, 39
B, 60-64, 75-79, 17176, 29
B, 65-69, 60-74, 28609, 58
B, 65-69, 75-79, 20370, 54
B, 70-74, 60-74, 7064, 12
B, 70-74, 75-79, 13099, 44
B, 75-79, 75-79, 7117, 18,
C, 60-64, 60-74, 1179, 1
C, 60-64, 75-79, 552, 1
C, 65-69, 60-74, 781, 0
C, 65-69, 75-79, 676, 1
C, 70-74, 60-74, 783, 6
C, 70-74, 75-79, 1948, 2
C, 75-79, 75-79, 274, 1
D, 60-64, 60-74, 251, 0
D, 60-64, 75-79, 105, 0
D, 65-69, 60-74, 288, 0
D, 65-69, 75-79, 192, 0
D, 70-74, 60-74, 439, 2
D, 70-74, 75-79, 1208, 11
D, 75-79, 75-79, 2051, 4
E, 60-64, 60-74, 45, 0
E, 65-69, 60-74, 789, 7
E, 65-69, 75-79, 437, 7
E, 70-74, 60-74, 1157, 5
E, 70-74, 75-79, 2161, 12
E, 75-79, 75-79, 542, 1 
